-0.796166,1.38785
-2.14795,0.61237
-3.47164,-0.146761
-4.82303,-0.921554
-6.16203,-1.68901
-7.47859,-2.44338
-7.50241,-2.45703
-8.84187,-3.2243
-10.1867,-3.9944
-10.1929,-3.99799
-11.5361,-4.76695
-12.8884,-5.5409
-12.906,-5.55097
-14.2464,-6.31786
-15.6244,-7.0677
-15.6553,-7.08537
-16.9995,-7.85399
-18.3574,-8.63023
-18.398,-8.65349
-19.7687,-9.4368
-21.1187,-10.2081
-21.1724,-10.2388
-22.5187,-11.0078
-23.8923,-11.7921
-23.9579,-11.8296
-25.3322,-12.6141
-26.6891,-13.3884
-26.7685,-13.4338
-28.1342,-14.2129
-29.4931,-14.988
-29.5801,-15.0376
-30.9321,-15.8085
-32.2932,-16.5844
-32.38,-16.6339
-33.7332,-17.4051
-35.093,-18.1799
-35.1723,-18.2251
-36.5242,-19.0145
-37.8676,-19.7984
-37.9359,-19.8373
-39.6402,-20.8075
-41.0136,-21.5891
-42.4135,-22.3856
-42.6473,-22.5186
-44.0271,-23.3035
-45.45,-24.1126
-46.8116,-24.9634
-47.1347,-25.147
-48.5227,-25.9359
-49.9306,-26.7358
-50.1509,-26.861
-51.5261,-27.6421
-52.7513,-28.3379
-54.4614,-29.3076
-55.8599,-30.099
-57.5271,-31.0409
-58.9409,-31.8386
-60.3882,-32.6546
-61.4947,-33.2782
-63.1935,-34.2355
-64.5989,-35.0278
-66.2472,-35.9576
-67.6846,-36.7695
-69.3072,-37.6874
-70.7671,-38.514
-72.3483,-39.409
-73.8037,-40.2327
-75.3735,-41.0826
-76.8923,-41.9417
-78.4069,-42.7982
-79.9075,-43.6467
-81.4446,-44.5156
-82.9414,-45.3615
-84.4512,-46.2145
-86.0029,-47.0849
-87.5037,-47.9195
-89.0216,-48.7634
-90.5319,-49.6101
-92.0412,-50.4619
-93.5259,-51.2997
-95.0641,-52.1675
-96.543,-53.0017
-98.0677,-53.8677
-99.5558,-54.7198
-101.062,-55.5823
-102.54,-56.4207
-104.078,-57.2877
-105.568,-58.1267
-107.081,-58.9789
-108.551,-59.8068
-110.116,-60.688
